yyyymm,equity_premium,b/m,tbl,ntis,infl,ltr,svar,dp,dy,ep,tms,dfy,dfr
195308,-0.002104122,0.816935916,0.0204,0.027864637,0.0024845,-0.0008,0.000681474,-2.79865449,-2.858168617,-2.218459164,0.0099,0.0061,0.012
195309,0.058830215,0.808210877,0.0179,0.025697974,0.0012399,0.0299,0.001105643,-2.799940113,-2.79865449,-2.214503625,0.0105,0.0059,0.015
195310,0.105195042,0.77372104,0.0138,0.024500265,0.0024752,0.0074,0.000572852,-2.842629995,-2.79292254,-2.269452242,0.0143,0.0066,0.0178
195311,0.064254971,0.758431958,0.0144,0.025602918,-0.0037152,-0.0049,0.000376498,-2.844586334,-2.835661326,-2.28364999,0.0142,0.0064,0.0167
195312,0.057484088,0.759700961,0.016,0.024696609,-0.0012415,0.0206,0.000417269,-2.839683241,-2.837665891,-2.290964045,0.0114,0.0061,0.0153
195401,0.10328844,0.729847122,0.0118,0.023283294,0.0024814,0.0089,0.000498219,-2.885015728,-2.835093789,-2.335589279,0.0173,0.0065,0.0188
195402,0.056321557,0.72451959,0.0097,0.022463285,-0.0012399,0.024,0.000340713,-2.88313453,-2.880454077,-2.332996993,0.0182,0.0066,0.0198
195403,0.082033672,0.804915818,0.0103,0.022024269,-0.0012415,0.0058,0.000356549,-2.90834977,-2.87858679,-2.357518812,0.0175,0.0065,0.0183
195404,0.097511755,0.765039301,0.0097,0.020798033,-0.0024876,0.0104,0.000730702,-2.960732717,-2.91289751,-2.396246597,0.0176,0.0062,0.0188
195405,0.0804433,0.745976976,0.0076,0.018424697,0.003729,-0.0087,0.000429853,-2.997673176,-2.965294368,-2.41959633,0.0203,0.0059,0.0212
195406,0.048599355,0.732467844,0.0064,0.018265943,0.0012399,0.0163,0.000935429,-3.00294756,-3.002262628,-2.411336799,0.0208,0.0059,0.0226
195407,0.101090764,0.702172913,0.0072,0.017674292,0,0.0134,0.000613307,-3.053955716,-2.998358108,-2.465664222,0.0194,0.0061,0.0217
195408,0.012529584,0.727516379,0.0092,0.017493105,-0.0012399,-0.0036,0.001144967,-3.014799938,-3.049394065,-2.429797714,0.0177,0.0062,0.0195
195409,0.123512646,0.677745104,0.0101,0.016832821,-0.0024845,-0.001,0.00069179,-3.090114379,-3.010252198,-2.508392934,0.017,0.0058,0.0188
195410,0.025552793,0.693758164,0.0098,0.017529217,-0.0024907,0.0006,0.000499174,-3.054677041,-3.074368254,-2.471112082,0.0173,0.0059,0.0189
195411,0.120276258,0.631641544,0.0093,0.01411906,0.0012461,-0.0025,0.001266826,-3.116877409,-3.039168425,-2.531539155,0.0181,0.0056,0.0196
195412,0.09052124,0.604119785,0.0115,0.026586409,-0.0024938,0.0064,0.000882264,-3.151180812,-3.101612135,-2.564115908,0.0157,0.0055,0.0175
195501,0.058244701,0.597558888,0.0122,0.025962289,0,-0.0241,0.002517398,-3.164763344,-3.146858996,-2.559414878,0.0164,0.0052,0.0171
195502,0.043955301,0.593148324,0.0117,0.0276189,0,-0.0078,0.000604031,-3.164009284,-3.160466563,-2.540848496,0.0175,0.0054,0.0176
195503,0.035786636,0.607761777,0.0128,0.027542279,0,0.0087,0.002482531,-3.154815822,-3.159724476,-2.514312375,0.016,0.0046,0.0174
195504,0.076064488,0.584987666,0.0159,0.026081267,0,0.0001,0.00062805,-3.189714812,-3.152683481,-2.522483783,0.0131,0.0048,0.0142
195505,0.037968557,0.586075413,0.0145,0.025021786,0,0.0073,0.000745073,-3.186262582,-3.187580626,-2.493118593,0.0142,0.0046,0.0159
195506,0.115464324,0.551641632,0.0141,0.025010009,0,-0.0076,0.000645744,-3.263227887,-3.18413931,-2.544922147,0.0152,0.0046,0.0164
